      Step     Time          Energy          fmax
BFGS:    0 18:47:20    -8749.631408        0.859185
BFGS:    1 18:48:18    -8749.651317        0.351942
BFGS:    2 18:49:15    -8749.656724        0.170778
BFGS:    3 18:50:11    -8749.658061        0.103280
BFGS:    4 18:51:06    -8749.658676        0.080301
BFGS:    5 18:52:02    -8749.659018        0.063181
BFGS:    6 18:52:55    -8749.659413        0.061891
BFGS:    7 18:53:50    -8749.659729        0.048154
      Step     Time          Energy          fmax
BFGS:    0 13:59:10    -8749.631405        0.859079
BFGS:    1 14:00:17    -8749.651317        0.352024
BFGS:    2 14:01:22    -8749.656725        0.170773
BFGS:    3 14:02:27    -8749.658061        0.103329
BFGS:    4 14:03:31    -8749.658676        0.080299
BFGS:    5 14:04:36    -8749.659018        0.063181
BFGS:    6 14:05:38    -8749.659413        0.061891
BFGS:    7 14:06:42    -8749.659729        0.048156
