      Step     Time          Energy          fmax
BFGS:    0 18:33:06    -8751.393381        1.148379
BFGS:    1 18:34:07    -8751.407368        1.121574
BFGS:    2 18:35:05    -8751.415923        0.259602
BFGS:    3 18:36:01    -8751.417586        0.093012
BFGS:    4 18:36:56    -8751.417998        0.060460
BFGS:    5 18:37:51    -8751.418419        0.052269
BFGS:    6 18:38:46    -8751.418754        0.065851
BFGS:    7 18:39:41    -8751.419147        0.072467
BFGS:    8 18:40:37    -8751.419630        0.067597
BFGS:    9 18:41:33    -8751.420234        0.066475
BFGS:   10 18:42:31    -8751.420826        0.080159
BFGS:   11 18:43:27    -8751.421333        0.088367
BFGS:   12 18:44:23    -8751.421823        0.080486
BFGS:   13 18:45:18    -8751.422344        0.054293
BFGS:   14 18:46:13    -8751.422742        0.043137
      Step     Time          Energy          fmax
BFGS:    0 13:42:59    -8751.393378        1.148450
BFGS:    1 13:44:07    -8751.407364        1.121862
BFGS:    2 13:45:14    -8751.415922        0.259555
BFGS:    3 13:46:18    -8751.417586        0.093013
BFGS:    4 13:47:22    -8751.417998        0.060463
BFGS:    5 13:48:26    -8751.418419        0.052268
BFGS:    6 13:49:29    -8751.418754        0.065849
BFGS:    7 13:50:33    -8751.419147        0.072466
BFGS:    8 13:51:37    -8751.419630        0.067598
BFGS:    9 13:52:42    -8751.420234        0.066474
BFGS:   10 13:53:47    -8751.420825        0.080158
BFGS:   11 13:54:52    -8751.421333        0.088367
BFGS:   12 13:55:55    -8751.421823        0.080488
BFGS:   13 13:56:59    -8751.422344        0.054295
BFGS:   14 13:58:03    -8751.422742        0.043133
