       Step     Time          Energy          fmax
LBFGS:    0 01:05:30    -8746.725984        4.967287
LBFGS:    1 01:16:05    -8746.763148        3.892915
LBFGS:    2 01:26:23    -8746.773226        4.124427
LBFGS:    3 01:36:11    -8746.782695        1.876052
LBFGS:    4 01:45:57    -8746.790968        1.803538
LBFGS:    5 01:55:51    -8746.800095        1.093524
LBFGS:    6 02:05:23    -8746.806731        0.881777
LBFGS:    7 02:15:05    -8746.816474        1.613636
LBFGS:    8 02:24:27    -8746.821309        1.100869
LBFGS:    9 02:33:41    -8746.824884        0.339114
LBFGS:   10 02:42:53    -8746.829798        0.399719
LBFGS:   11 02:52:04    -8746.835930        0.600520
LBFGS:   12 03:01:20    -8746.845865        0.301773
LBFGS:   13 03:10:34    -8746.853063        0.295801
LBFGS:   14 03:19:43    -8746.860214        0.341387
LBFGS:   15 03:29:00    -8746.864731        0.346347
LBFGS:   16 03:38:15    -8746.866608        0.288794
LBFGS:   17 03:47:24    -8746.867792        0.283592
LBFGS:   18 03:56:38    -8746.869436        0.358666
LBFGS:   19 04:05:48    -8746.871795        0.272475
LBFGS:   20 04:15:06    -8746.874814        0.232070
LBFGS:   21 04:24:20    -8746.877313        0.297468
LBFGS:   22 04:33:38    -8746.880326        0.405944
LBFGS:   23 04:42:58    -8746.882607        0.375638
LBFGS:   24 04:52:17    -8746.884259        0.266353
LBFGS:   25 05:01:36    -8746.886721        0.330357
LBFGS:   26 05:10:59    -8746.890509        0.397928
LBFGS:   27 05:20:14    -8746.894308        0.376596
LBFGS:   28 05:29:40    -8746.897824        0.374203
LBFGS:   29 05:39:10    -8746.901415        0.372320
LBFGS:   30 05:48:25    -8746.904491        0.337201
LBFGS:   31 05:57:42    -8746.906521        0.312354
LBFGS:   32 06:07:00    -8746.910431        0.374946
LBFGS:   33 06:16:20    -8746.910563        0.344678
LBFGS:   34 06:25:42    -8746.914453        0.219483
LBFGS:   35 06:34:56    -8746.916715        0.216251
LBFGS:   36 06:44:06    -8746.919272        0.177371
LBFGS:   37 06:53:10    -8746.922005        0.223801
LBFGS:   38 07:02:14    -8746.925126        0.186415
LBFGS:   39 07:11:16    -8746.927582        0.168775
LBFGS:   40 07:20:21    -8746.929573        0.152284
LBFGS:   41 07:29:19    -8746.930970        0.131328
LBFGS:   42 07:38:24    -8746.932936        0.176302
LBFGS:   43 07:47:36    -8746.935946        0.155156
LBFGS:   44 07:56:50    -8746.939506        0.176994
LBFGS:   45 08:06:05    -8746.943249        0.236811
LBFGS:   46 08:15:16    -8746.945895        0.179561
LBFGS:   47 08:24:34    -8746.949133        0.168211
LBFGS:   48 08:33:54    -8746.952198        0.181923
LBFGS:   49 08:43:18    -8746.956183        0.210502
LBFGS:   50 08:52:49    -8746.960568        0.299262
LBFGS:   51 09:02:11    -8746.963924        0.237068
LBFGS:   52 09:11:25    -8746.966980        0.199771
LBFGS:   53 09:20:33    -8746.968585        0.195175
LBFGS:   54 09:29:41    -8746.970339        0.192465
LBFGS:   55 09:39:00    -8746.973205        0.209847
LBFGS:   56 09:48:24    -8746.975765        0.219968
LBFGS:   57 09:57:50    -8746.978704        0.163261
LBFGS:   58 10:07:00    -8746.980308        0.139513
LBFGS:   59 10:16:11    -8746.981641        0.197944
LBFGS:   60 10:25:19    -8746.982368        0.225596
LBFGS:   61 10:34:31    -8746.982651        0.143267
LBFGS:   62 10:43:39    -8746.983003        0.090094
LBFGS:   63 10:52:58    -8746.976888        0.335511
LBFGS:   64 11:02:03    -8746.976628        0.323132
LBFGS:   65 11:11:21    -8746.968752        0.348196
LBFGS:   66 11:20:53    -8746.946548        0.477890
LBFGS:   67 11:31:03    -8746.801242        1.222647
LBFGS:   68 11:41:11    -8746.346725        2.242146
LBFGS:   69 11:51:27    -8745.362735        3.538727
LBFGS:   70 12:01:44    -8743.724990        4.782610
LBFGS:   71 12:12:15    -8741.418671        5.865323
