      Step     Time          Energy          fmax
BFGS:    0 00:29:48    -8751.393381        1.148379
BFGS:    1 00:30:54    -8751.407368        1.121574
BFGS:    2 00:32:02    -8751.415923        0.259602
BFGS:    3 00:33:06    -8751.417586        0.093012
BFGS:    4 00:34:10    -8751.417998        0.060460
BFGS:    5 00:35:14    -8751.418419        0.052269
BFGS:    6 00:36:18    -8751.418754        0.065851
BFGS:    7 00:37:21    -8751.419147        0.072467
BFGS:    8 00:38:24    -8751.419630        0.067597
BFGS:    9 00:39:29    -8751.420234        0.066475
BFGS:   10 00:40:35    -8751.420826        0.080159
BFGS:   11 00:41:41    -8751.421333        0.088367
BFGS:   12 00:42:45    -8751.421823        0.080486
BFGS:   13 00:43:50    -8751.422344        0.054293
BFGS:   14 00:44:54    -8751.422742        0.043137
