algorithm,set,reaction_id,name,model,workflow,gradients,success,failure_mode
FSM,baker,1,HCN -> HNC,GFN2-xTB,native,3,1,
FSM,baker,1,HCN -> HNC,GFN2-xTB,low-level refined,4,1,
FSM,baker,1,HCN -> HNC,AIMNet2,native,3,1,
FSM,baker,1,HCN -> HNC,AIMNet2,low-level refined,4,1,
FSM,baker,1,HCN -> HNC,eSEN-S,native,4,1,
FSM,baker,1,HCN -> HNC,eSEN-S,low-level refined,2,1,
FSM,baker,1,HCN -> HNC,UMA-S,native,3,1,
FSM,baker,1,HCN -> HNC,UMA-S,low-level refined,3,1,
FSM,baker,1,HCN -> HNC,UMA-M,native,4,1,
FSM,baker,1,HCN -> HNC,UMA-M,low-level refined,2,1,
FSM,baker,1,HCN -> HNC,MACE-OMol25,native,4,1,
FSM,baker,1,HCN -> HNC,MACE-OMol25,low-level refined,2,1,
FSM,baker,2,HCCH -> CCH2,GFN2-xTB,native,16,1,
FSM,baker,2,HCCH -> CCH2,GFN2-xTB,low-level refined,5,1,
FSM,baker,2,HCCH -> CCH2,AIMNet2,native,6,1,
FSM,baker,2,HCCH -> CCH2,AIMNet2,low-level refined,3,1,
FSM,baker,2,HCCH -> CCH2,eSEN-S,native,8,1,
FSM,baker,2,HCCH -> CCH2,eSEN-S,low-level refined,2,1,
FSM,baker,2,HCCH -> CCH2,UMA-S,native,9,1,
FSM,baker,2,HCCH -> CCH2,UMA-S,low-level refined,2,1,
FSM,baker,2,HCCH -> CCH2,UMA-M,native,9,1,
FSM,baker,2,HCCH -> CCH2,UMA-M,low-level refined,2,1,
FSM,baker,2,HCCH -> CCH2,MACE-OMol25,native,9,1,
FSM,baker,2,HCCH -> CCH2,MACE-OMol25,low-level refined,3,1,
FSM,baker,3,H2CO -> H2 + CO,GFN2-xTB,native,10,1,
FSM,baker,3,H2CO -> H2 + CO,GFN2-xTB,low-level refined,5,1,
FSM,baker,3,H2CO -> H2 + CO,AIMNet2,native,21,1,
FSM,baker,3,H2CO -> H2 + CO,AIMNet2,low-level refined,36,0,b
FSM,baker,3,H2CO -> H2 + CO,eSEN-S,native,17,1,
FSM,baker,3,H2CO -> H2 + CO,eSEN-S,low-level refined,2,1,
FSM,baker,3,H2CO -> H2 + CO,UMA-S,native,16,1,
FSM,baker,3,H2CO -> H2 + CO,UMA-S,low-level refined,3,1,
FSM,baker,3,H2CO -> H2 + CO,UMA-M,native,16,1,
FSM,baker,3,H2CO -> H2 + CO,UMA-M,low-level refined,2,1,
FSM,baker,3,H2CO -> H2 + CO,MACE-OMol25,native,18,1,
FSM,baker,3,H2CO -> H2 + CO,MACE-OMol25,low-level refined,2,1,
FSM,baker,4,CH3O -> CH2OH,GFN2-xTB,native,6,1,
FSM,baker,4,CH3O -> CH2OH,GFN2-xTB,low-level refined,4,1,
FSM,baker,4,CH3O -> CH2OH,AIMNet2,native,23,1,
FSM,baker,4,CH3O -> CH2OH,AIMNet2,low-level refined,14,1,
FSM,baker,4,CH3O -> CH2OH,eSEN-S,native,6,1,
FSM,baker,4,CH3O -> CH2OH,eSEN-S,low-level refined,3,1,
FSM,baker,4,CH3O -> CH2OH,UMA-S,native,6,1,
FSM,baker,4,CH3O -> CH2OH,UMA-S,low-level refined,3,1,
FSM,baker,4,CH3O -> CH2OH,UMA-M,native,6,1,
FSM,baker,4,CH3O -> CH2OH,UMA-M,low-level refined,3,1,
FSM,baker,4,CH3O -> CH2OH,MACE-OMol25,native,6,1,
FSM,baker,4,CH3O -> CH2OH,MACE-OMol25,low-level refined,3,1,
FSM,baker,5,cyclopropyl ring opening,GFN2-xTB,native,13,1,
FSM,baker,5,cyclopropyl ring opening,GFN2-xTB,low-level refined,5,1,
FSM,baker,5,cyclopropyl ring opening,AIMNet2,native,47,0,a
FSM,baker,5,cyclopropyl ring opening,AIMNet2,low-level refined,7,0,a
FSM,baker,5,cyclopropyl ring opening,eSEN-S,native,13,1,
FSM,baker,5,cyclopropyl ring opening,eSEN-S,low-level refined,3,1,
FSM,baker,5,cyclopropyl ring opening,UMA-S,native,12,1,
FSM,baker,5,cyclopropyl ring opening,UMA-S,low-level refined,3,1,
FSM,baker,5,cyclopropyl ring opening,UMA-M,native,9,1,
FSM,baker,5,cyclopropyl ring opening,UMA-M,low-level refined,3,1,
FSM,baker,5,cyclopropyl ring opening,MACE-OMol25,native,23,0,a
FSM,baker,5,cyclopropyl ring opening,MACE-OMol25,low-level refined,3,1,
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,GFN2-xTB,native,147,0,a
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,GFN2-xTB,low-level refined,14,1,
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,AIMNet2,native,43,1,
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,AIMNet2,low-level refined,28,1,
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,eSEN-S,native,59,1,
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,eSEN-S,low-level refined,4,1,
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,UMA-S,native,181,0,a
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,UMA-S,low-level refined,4,1,
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,UMA-M,native,43,1,
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,UMA-M,low-level refined,3,1,
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,MACE-OMol25,native,92,0,a
FSM,baker,6,bicyclo[1.1.0]butane -> trans-butadiene,MACE-OMol25,low-level refined,4,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",GFN2-xTB,native,14,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",GFN2-xTB,low-level refined,8,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",AIMNet2,native,18,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",AIMNet2,low-level refined,33,0,b
FSM,baker,7,"formyloxyethyl 1,2-migration",eSEN-S,native,14,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",eSEN-S,low-level refined,4,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",UMA-S,native,15,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",UMA-S,low-level refined,5,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",UMA-M,native,11,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",UMA-M,low-level refined,4,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",MACE-OMol25,native,16,1,
FSM,baker,7,"formyloxyethyl 1,2-migration",MACE-OMol25,low-level refined,3,1,
FSM,baker,8,parent Diels-Alder cycloaddition,GFN2-xTB,native,31,1,
FSM,baker,8,parent Diels-Alder cycloaddition,GFN2-xTB,low-level refined,7,1,
FSM,baker,8,parent Diels-Alder cycloaddition,AIMNet2,native,29,1,
FSM,baker,8,parent Diels-Alder cycloaddition,AIMNet2,low-level refined,4,1,
FSM,baker,8,parent Diels-Alder cycloaddition,eSEN-S,native,42,1,
FSM,baker,8,parent Diels-Alder cycloaddition,eSEN-S,low-level refined,2,1,
FSM,baker,8,parent Diels-Alder cycloaddition,UMA-S,native,26,1,
FSM,baker,8,parent Diels-Alder cycloaddition,UMA-S,low-level refined,3,1,
FSM,baker,8,parent Diels-Alder cycloaddition,UMA-M,native,19,1,
FSM,baker,8,parent Diels-Alder cycloaddition,UMA-M,low-level refined,3,1,
FSM,baker,8,parent Diels-Alder cycloaddition,MACE-OMol25,native,23,1,
FSM,baker,8,parent Diels-Alder cycloaddition,MACE-OMol25,low-level refined,3,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,GFN2-xTB,native,14,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,GFN2-xTB,low-level refined,10,0,b
FSM,baker,9,s-tetrazine -> 2HCN + N2,AIMNet2,native,7,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,AIMNet2,low-level refined,4,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,eSEN-S,native,24,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,eSEN-S,low-level refined,5,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,UMA-S,native,36,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,UMA-S,low-level refined,4,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,UMA-M,native,24,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,UMA-M,low-level refined,3,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,MACE-OMol25,native,9,1,
FSM,baker,9,s-tetrazine -> 2HCN + N2,MACE-OMol25,low-level refined,3,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,GFN2-xTB,native,5,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,GFN2-xTB,low-level refined,4,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,AIMNet2,native,4,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,AIMNet2,low-level refined,4,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,eSEN-S,native,3,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,eSEN-S,low-level refined,3,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,UMA-S,native,3,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,UMA-S,low-level refined,2,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,UMA-M,native,3,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,UMA-M,low-level refined,2,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,MACE-OMol25,native,3,1,
FSM,baker,10,trans-butadiene -> cis-butadiene,MACE-OMol25,low-level refined,2,1,
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,GFN2-xTB,native,20,1,
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,GFN2-xTB,low-level refined,9,1,
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,AIMNet2,native,33,1,
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,AIMNet2,low-level refined,34,1,
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,eSEN-S,native,23,1,
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,eSEN-S,low-level refined,250,0,d
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,UMA-S,native,20,1,
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,UMA-S,low-level refined,156,0,a
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,UMA-M,native,17,1,
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,UMA-M,low-level refined,64,0,a
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,MACE-OMol25,native,21,1,
FSM,baker,11,CH3CH3 -> CH2CH2 + H2,MACE-OMol25,low-level refined,3,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,GFN2-xTB,native,11,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,GFN2-xTB,low-level refined,7,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,AIMNet2,native,9,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,AIMNet2,low-level refined,4,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,eSEN-S,native,11,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,eSEN-S,low-level refined,2,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,UMA-S,native,11,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,UMA-S,low-level refined,2,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,UMA-M,native,11,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,UMA-M,low-level refined,2,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,MACE-OMol25,native,11,1,
FSM,baker,12,CH3CH2F -> CH2CH2 + HF,MACE-OMol25,low-level refined,2,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,GFN2-xTB,native,6,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,GFN2-xTB,low-level refined,5,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,AIMNet2,native,4,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,AIMNet2,low-level refined,4,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,eSEN-S,native,4,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,eSEN-S,low-level refined,2,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,UMA-S,native,4,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,UMA-S,low-level refined,2,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,UMA-M,native,4,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,UMA-M,low-level refined,2,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,MACE-OMol25,native,4,1,
FSM,baker,13,acetaldehyde keto-enol tautomerism,MACE-OMol25,low-level refined,2,1,
FSM,baker,14,HCOCl -> HCl + CO,GFN2-xTB,native,8,1,
FSM,baker,14,HCOCl -> HCl + CO,GFN2-xTB,low-level refined,6,1,
FSM,baker,14,HCOCl -> HCl + CO,AIMNet2,native,8,1,
FSM,baker,14,HCOCl -> HCl + CO,AIMNet2,low-level refined,4,1,
FSM,baker,14,HCOCl -> HCl + CO,eSEN-S,native,7,1,
FSM,baker,14,HCOCl -> HCl + CO,eSEN-S,low-level refined,2,1,
FSM,baker,14,HCOCl -> HCl + CO,UMA-S,native,6,1,
FSM,baker,14,HCOCl -> HCl + CO,UMA-S,low-level refined,2,1,
FSM,baker,14,HCOCl -> HCl + CO,UMA-M,native,7,1,
FSM,baker,14,HCOCl -> HCl + CO,UMA-M,low-level refined,2,1,
FSM,baker,14,HCOCl -> HCl + CO,MACE-OMol25,native,7,1,
FSM,baker,14,HCOCl -> HCl + CO,MACE-OMol25,low-level refined,2,1,
FSM,baker,15,H2O + PO_3^- -> H2PO_4^-,GFN2-xTB,native,23,1,
FSM,baker,15,H2O + PO_3^- -> H2PO_4^-,GFN2-xTB,low-level refined,6,1,
