set,reaction_id,name,E_RKS_Ha,stable,E_BS_Ha,depth_meV,S2_BS,notes,structure,lambda_min_au,max_grad_Eh_bohr
baker,1,HCN -> HNC,-93.355868292,1,,,0.000000,stable but UKS energy differs from RKS by 0.06 meV,baker_01_hcn,0.136049,0.00020670
baker,2,HCCH -> CCH2,-77.258869425,1,,,-0.000000,stable but UKS energy differs from RKS by 0.07 meV,baker_02_hcch,0.145867,0.00015662
baker,3,H2CO -> H2 + CO,-114.367169394,1,,,-0.000000,stable but UKS energy differs from RKS by 0.08 meV,baker_03_h2co,0.050495,0.00010008
baker,4,CH3O -> CH2OH,-115.003627726,,,,0.758042,"open-shell, RKS question not applicable",baker_04_ch3o,,0.00006578
baker,5,cyclopropyl ring opening,-117.175572478,,,,0.807158,"open-shell, RKS question not applicable",baker_05_cyclopropyl,,0.00009707
baker,6,bicyclo[1.1.0]butane -> trans-butadiene,-155.879294088,0,-155.879798266,13.72,0.192139,RKS->UKS numerical offset +0.39 meV; depth against a same-path UKS reference (<S**2>=0) is 14.11 meV,baker_06_bicyclobutane,-0.010400,0.00018147
baker,7,"formyloxyethyl 1,2-migration",-267.683440880,,,,0.769562,"open-shell, RKS question not applicable",baker_08_formyloxyethyl,,0.00019606
baker,8,parent Diels-Alder cycloaddition,-234.547636216,1,,,-0.000000,stable but UKS energy differs from RKS by 0.95 meV,baker_09_parentdielsalder,0.057746,0.00013684
baker,9,s-tetrazine -> 2HCN + N2,-296.252066799,1,,,0.000000,stable but UKS energy differs from RKS by 0.49 meV,baker_10_tetrazine,0.073804,0.00019140
baker,10,trans-butadiene -> cis-butadiene,-155.986709038,1,,,-0.000000,stable but UKS energy differs from RKS by 0.39 meV,baker_11_trans_butadiene,0.098863,0.00004361
baker,11,CH3CH3 -> CH2CH2 + H2,-79.628112495,1,,,0.000000,stable but UKS energy differs from RKS by 0.18 meV,baker_12_ethane_h2_abstraction,0.045061,0.00010070
baker,12,CH3CH2F -> CH2CH2 + HF,-178.974894037,1,,,-0.000000,stable but UKS energy differs from RKS by 0.23 meV,baker_13_hf_abstraction,0.119483,0.00006038
baker,13,acetaldehyde keto-enol tautomerism,-153.729301051,1,,,-0.000000,stable but UKS energy differs from RKS by 0.19 meV,baker_14_vinyl_alcohol,0.085030,0.00009166
baker,14,HCOCl -> HCl + CO,-574.008765894,1,,,0.000000,stable but UKS energy differs from RKS by 0.16 meV,baker_15_hocl,0.108844,0.00028530
baker,15,H2O + PO3- -> H2PO4-,-643.593029754,1,,,-0.000000,stable but UKS energy differs from RKS by 0.50 meV,baker_16_h2po4_anion,0.229863,0.00017479
baker,16,CH2CHCH2CH2CHO Claisen rearrangement,-270.472585131,1,,,-0.000000,stable but UKS energy differs from RKS by 0.85 meV,baker_17_claisen,0.081673,0.00007377
baker,17,SiH2 + CH3CH3 -> SiH3CH2CH3,-370.365440197,1,,,0.000000,stable but UKS energy differs from RKS by 0.48 meV,baker_18_silylene_insertion,0.043988,0.00015080
baker,18,HNCCS -> HNC + CS,-529.547711471,1,,,-0.000000,stable but UKS energy differs from RKS by 0.26 meV,baker_19_hnccs,0.021315,0.00018754
baker,19,HCONH3+ -> NH4+ + CO,-170.163738172,1,,,0.000000,stable but UKS energy differs from RKS by 0.14 meV,baker_20_hconh3_cation,0.157765,0.00013116
baker,20,acrolein rotational TS,-191.912571787,1,,,-0.000000,stable but UKS energy differs from RKS by 0.30 meV,baker_21_acrolein_rot,0.103706,0.00009940
baker,21,HCONHOH -> HCOHNHO,-245.001395692,1,,,-0.000000,stable but UKS energy differs from RKS by 0.24 meV,baker_22_hconhoh,0.108382,0.00007989
baker,22,HNC + H2 -> H2CNH,-94.484361406,1,,,-0.000000,stable but UKS energy differs from RKS by 0.10 meV,baker_23_hcn_h2,0.078478,0.00020642
baker,23,H2CNH -> HCNH2,-94.497639617,1,,,0.000000,stable but UKS energy differs from RKS by 0.09 meV,baker_24_h2cnh,0.050945,0.00006084
baker,24,HCNH2 -> HCN + H2,-94.446321786,1,,,-0.000000,stable but UKS energy differs from RKS by 0.10 meV,baker_25_hcnh2,0.048901,0.00013604
sharada,1,H2CO -> H2 + CO,-114.367169394,1,,,-0.000000,same reference TS as Baker 3 (max |dx| 0.0014 A); stable but UKS energy differs from RKS by 0.08 meV,baker_03_h2co,0.050495,0.00010008
sharada,2,SiH2 + H2 -> SiH4,-370.365440827,1,,,0.000000,stable but UKS energy differs from RKS by 0.48 meV,sharada_02_silane,0.043848,0.00016258
sharada,3,CH2CHOH <-> CH3CHO,-153.729301051,1,,,-0.000000,identical reference TS to Baker 13; stable but UKS energy differs from RKS by 0.19 meV,baker_14_vinyl_alcohol,0.085030,0.00009166
sharada,4,CH3CH3 -> CH2CH2 + H2,-79.628112495,1,,,0.000000,"identical reference TS to Baker 11; repo chg/mult swapped (1/0), corrected to 0/1; stable but UKS energy differs from RKS by 0.18 meV",baker_12_ethane_h2_abstraction,0.045061,0.00010070
sharada,5,bicyclo[1.1.0]butane -> trans-butadiene,-155.879294088,0,-155.879798266,13.72,0.192139,same reference TS as Baker 6 (max |dx| 0.00004 A); RKS->UKS numerical offset +0.39 meV; depth against a same-path UKS reference (<S**2>=0) is 14.11 meV,baker_06_bicyclobutane,-0.010400,0.00018147
sharada,6,parent Diels-Alder cycloaddition,-234.547636216,1,,,-0.000000,identical reference TS to Baker 8; stable but UKS energy differs from RKS by 0.95 meV,baker_09_parentdielsalder,0.057746,0.00013684
sharada,7,"cis,cis-2,4-hexadiene <-> 3,4-dimethylcyclobutene",-234.545448598,1,,,0.000000,stable but UKS energy differs from RKS by 0.93 meV,sharada_07_hexadiene,0.034288,0.00011561
sharada,8,alanine dipeptide C5 <-> C7AX,-495.896391122,1,,,0.000000,stable but UKS energy differs from RKS by 1.68 meV,sharada_08_alanine,0.157535,0.00012850
sharada,9,silyl ketene acetal -> silyl ester Ireland-Claisen,-1370.886906990,1,,,-0.000000,stable but UKS energy differs from RKS by 8.94 meV,sharada_09_icr,0.050465,0.00027575
