rxn,model,unstable,barr_model,barr_dft,err_barr,rxne_model,rxne_dft,err_rxne,s2_R,s2_TS,s2_P
rxn0101,esen,0,2.7339,2.7739,-0.0399,-0.5931,-0.5890,-0.0041,0.0000,0.0000,-0.0000
rxn0101,uma-m,0,2.7407,2.7733,-0.0327,-0.5926,-0.5890,-0.0036,0.0000,-0.0000,-0.0000
rxn0101,uma-s,0,2.7382,2.7731,-0.0350,-0.5916,-0.5890,-0.0026,0.0000,0.0000,0.0000
rxn0346,esen,1,3.3303,3.3292,0.0010,1.9691,1.9673,0.0017,-0.0000,0.6521,0.0000
rxn0346,uma-m,1,3.3086,3.3221,-0.0135,1.9657,1.9672,-0.0015,-0.0000,0.6077,0.0000
rxn0346,uma-s,1,3.3253,3.3260,-0.0006,1.9660,1.9672,-0.0012,0.0000,0.6075,-0.0000
rxn0894,esen,1,7.1151,4.4237,2.6914,2.4512,2.4502,0.0010,0.0000,1.0277,0.0000
rxn0894,uma-m,1,7.3401,4.8240,2.5161,2.4496,2.4502,-0.0006,0.0000,1.0383,0.0000
rxn0894,uma-s,1,4.1816,4.1710,0.0105,2.4504,2.4502,0.0003,-0.0000,0.9858,-0.0000
rxn0896,esen,0,5.2092,5.2212,-0.0121,3.4531,3.4568,-0.0037,0.0000,0.0000,-0.0000
rxn0896,uma-m,0,5.2046,5.2208,-0.0162,3.4471,3.4568,-0.0097,-0.0000,-0.0000,0.0000
rxn0896,uma-s,0,5.2054,5.2206,-0.0152,3.4496,3.4568,-0.0072,-0.0000,-0.0000,-0.0000
rxn10005,esen,0,3.7241,3.7219,0.0022,2.5084,2.5083,0.0001,-0.0000,0.0000,-0.0000
rxn10005,uma-m,0,3.7230,3.7215,0.0016,2.5066,2.5078,-0.0012,0.0000,-0.0000,0.0000
rxn10005,uma-s,0,3.7187,3.7219,-0.0033,2.5073,2.5084,-0.0012,-0.0000,0.0000,0.0000
rxn10054,esen,0,1.8379,1.8418,-0.0039,-1.4676,-1.4699,0.0023,0.0000,0.0701,-0.0000
