rxn,group_rxn,spread_mev
rxn0101,stable,0.625
rxn0346,unstable,8.490
rxn0894,unstable,662.165
rxn0896,stable,0.613
rxn10005,stable,0.695
rxn10054,unstable,2.678
rxn1061,stable,0.082
rxn1147,stable,2.644
rxn1150,stable,0.914
rxn1154,stable,11.593
rxn1155,stable,0.247
rxn1283,unstable,27.870
rxn1320,unstable,1.052
rxn1961,stable,0.036
rxn1962,stable,0.051
rxn2553,stable,0.133
rxn3107,unstable,3.743
rxn4003,stable,0.041
rxn4004,stable,0.187
rxn4060,stable,0.029
rxn4063,stable,0.073
rxn4113,unstable,1045.221
rxn4114,stable,0.071
rxn4498,stable,0.907
rxn4500,stable,0.076
rxn4513,stable,0.496
rxn4518,unstable,2.098
rxn4519,stable,0.794
rxn4522,unstable,3.550
rxn5690,unstable,5.431
rxn5691,unstable,61.408
rxn6196,unstable,1.207
rxn7060,stable,44.832
rxn7936,stable,1.424
rxn7937,stable,4.702
rxn7945,stable,512.749
rxn7949,unstable,15.095
rxn7955,stable,0.254
rxn7957,unstable,0.292
rxn8827,unstable,12.920
rxn8829,stable,0.335
rxn8832,unstable,15.948
rxn8837,unstable,4434.359
rxn8885,unstable,337.494
rxn9246,stable,0.208
