rxn,nfod,F_rks
rxn7945,0.903300,0.042227
rxn7937,0.877471,0.039370
rxn1150,0.846633,0.174634
rxn0896,0.840368,0.048969
rxn7936,0.727138,0.027331
rxn0101,0.713202,0.058351
rxn10005,0.695113,0.018154
rxn10054,0.694863,0.013502
rxn1154,0.566447,0.045691
rxn4513,0.307267,0.088087
rxn7955,0.219052,0.040066
rxn4519,0.154479,0.027821
rxn4500,0.106113,0.092666
rxn2553,0.076007,0.053626
rxn8829,0.047832,0.060728
rxn1155,0.016664,0.034270
rxn9246,0.014248,0.018748
rxn4498,0.012435,0.049412
rxn1061,0.011969,0.057468
rxn4003,0.010029,0.016322
rxn4004,0.009489,0.044650
rxn4063,0.007984,0.039625
rxn4114,0.007904,0.033002
rxn4060,0.006670,0.056990
rxn1961,0.004266,0.024895
rxn1962,0.002577,0.044993
