schritt,rxn,variante,stunden
praediktor,rxn0101,stabil,0.1475
praediktor,rxn0346,instabil,0.8150
praediktor,rxn0894,instabil,0.9128
praediktor,rxn0896,stabil,0.1532
praediktor,rxn10005,stabil,0.1718
praediktor,rxn10054,stabil,0.2115
praediktor,rxn1061,stabil,0.1732
praediktor,rxn1147,instabil,0.8592
praediktor,rxn1150,stabil,0.1517
praediktor,rxn1154,stabil,0.1523
praediktor,rxn1155,stabil,0.1574
praediktor,rxn1283,instabil,0.9610
praediktor,rxn1320,instabil,0.8450
praediktor,rxn1961,stabil,0.1184
praediktor,rxn1962,stabil,0.1223
praediktor,rxn2553,stabil,0.1471
praediktor,rxn3107,instabil,0.9821
praediktor,rxn4003,stabil,0.1926
praediktor,rxn4004,stabil,0.1918
praediktor,rxn4060,stabil,0.1944
praediktor,rxn4063,stabil,0.2042
praediktor,rxn4113,instabil,0.9832
praediktor,rxn4114,stabil,0.1452
praediktor,rxn4498,stabil,0.1567
praediktor,rxn4500,stabil,0.1357
praediktor,rxn4513,stabil,0.1505
praediktor,rxn4518,instabil,0.8439
praediktor,rxn4519,stabil,0.1400
praediktor,rxn4522,instabil,0.8727
praediktor,rxn5690,instabil,1.3420
praediktor,rxn5691,instabil,1.3155
praediktor,rxn6196,instabil,1.2843
praediktor,rxn7060,instabil,1.1141
praediktor,rxn7936,stabil,0.2236
praediktor,rxn7937,stabil,0.2166
praediktor,rxn7945,stabil,0.2182
praediktor,rxn7949,instabil,1.1638
praediktor,rxn7955,stabil,0.1915
praediktor,rxn7957,instabil,1.1452
praediktor,rxn8827,instabil,1.2851
praediktor,rxn8829,stabil,0.2369
praediktor,rxn8832,instabil,1.1543
praediktor,rxn8837,instabil,1.2545
praediktor,rxn8885,instabil,1.4206
praediktor,rxn9246,stabil,0.1719
routeA,rxn0346,,6.3886
routeA,rxn1147,,35.9356
routeA,rxn1320,,40.2722
routeA,rxn4113,,26.7111
routeA,rxn5690,,11.2625
routeA,rxn6196,,15.4872
routeA,rxn7957,,22.7308
routeA,rxn8827,,14.2181
routeA,rxn8832,,29.3000
routeA,rxn8837,,30.9853
routeA,rxn8885,,46.8772
routeB,rxn0346,,0.9531
routeB,rxn0894,,0.7181
routeB,rxn1320,,0.9481
routeB,rxn3107,,2.4408
routeB,rxn4522,,1.3886
routeB,rxn5690,,1.5717
routeB,rxn5691,,1.8094
routeB,rxn6196,,1.8317
routeB,rxn8827,,1.4081
routeC_orca,rxn0346,,0.5058
routeC_orca,rxn1147,,0.3994
routeC_orca,rxn1283,,0.4403
routeC_orca,rxn1320,,0.4197
routeC_orca,rxn3107,,0.5836
routeC_orca,rxn4113,,0.4300
routeC_orca,rxn4518,,0.4186
routeC_orca,rxn4522,,0.4164
routeC_orca,rxn5690,,0.7039
routeC_orca,rxn5691,,0.5922
routeC_orca,rxn6196,,0.6317
routeC_orca,rxn7060,,0.9314
routeC_orca,rxn7949,,0.6469
routeC_orca,rxn7957,,0.6658
routeC_orca,rxn8827,,0.6736
routeC_orca,rxn8832,,0.6675
routeC_orca,rxn8837,,0.5092
routeC_orca,rxn8885,,0.7500
routeC_pyscf,rxn1283,converged,23.1296
routeC_pyscf,rxn1320,converged,2.7314
routeC_pyscf,rxn4113,converged,3.6918
routeC_pyscf,rxn4518,converged,3.1004
routeC_pyscf,rxn4522,converged,3.9968
routeC_pyscf,rxn5690,converged,4.3721
routeC_pyscf,rxn5691,converged,4.6867
routeC_pyscf,rxn6196,converged,4.1862
routeC_pyscf,rxn8885,converged,4.5443
