rxn,s2_ts,f_rks,f_bs,ratio,depth_mev,group,group_local
rxn0346,0.619108,0.055114,2.545687,46.190,137.56,unstable,unstable
rxn0896,-0.000000,0.006271,0.007155,1.141,-0.00,stable,stable
rxn10005,0.000000,0.021310,0.021324,1.001,0.00,stable,stable
rxn10054,0.000000,0.006660,0.006686,1.004,-0.00,unstable,stable
rxn1147,0.556224,0.098528,1.911111,19.397,112.86,stable,unstable
rxn1150,0.000000,0.166809,0.166925,1.001,-0.00,stable,stable
rxn1155,-0.000000,0.002897,0.002899,1.001,0.00,stable,stable
rxn1283,0.452462,0.027178,2.519583,92.708,49.40,unstable,unstable
rxn1320,0.829624,0.040410,2.055307,50.862,408.42,unstable,unstable
rxn1961,0.000000,0.029536,0.029596,1.002,0.00,stable,stable
rxn1962,0.000000,0.019925,0.019959,1.002,0.00,stable,stable
rxn2553,-0.000000,0.078802,0.078828,1.000,0.00,stable,stable
rxn4063,-0.000000,0.038839,0.038957,1.003,0.00,stable,stable
rxn4113,0.115363,0.081021,0.317402,3.918,5.69,unstable,unstable
rxn4114,-0.000000,0.040486,0.040592,1.003,-0.00,stable,stable
rxn4498,0.000000,0.051548,0.051654,1.002,0.00,stable,stable
rxn4500,0.000000,0.090066,0.090101,1.000,0.00,stable,stable
rxn4513,0.000000,0.129208,0.129157,1.000,0.00,stable,stable
rxn4518,0.845827,0.089222,2.887556,32.364,651.04,unstable,unstable
rxn4522,0.668387,0.098493,1.869460,18.981,185.09,unstable,unstable
rxn5690,0.080951,0.039517,0.183314,4.639,1.64,unstable,unstable
rxn5691,0.635980,0.042002,1.424245,33.909,155.28,unstable,unstable
rxn6196,0.224404,0.081218,0.687624,8.466,12.11,unstable,unstable
rxn7936,-0.000000,0.038457,0.038681,1.006,0.00,stable,stable
rxn7945,-0.000000,0.047005,0.046899,0.998,0.00,stable,stable
rxn7955,-0.000000,0.038005,0.038029,1.001,0.00,stable,stable
rxn7957,0.509289,0.034427,0.891583,25.898,93.66,unstable,unstable
rxn8827,0.344914,0.028708,1.114231,38.813,27.36,unstable,unstable
rxn8829,-0.000000,0.039337,0.039362,1.001,0.00,stable,stable
rxn8832,0.872056,0.149574,2.730218,18.253,427.14,unstable,unstable
rxn8837,0.748892,0.021790,1.720140,78.942,299.72,unstable,unstable
rxn8885,0.460187,0.028118,2.355183,83.760,33.07,unstable,unstable
rxn9246,-0.000000,0.069734,0.069738,1.000,0.00,stable,stable
