rxn,F_rks,F_bs
rxn7949,0.104896,1.685984
rxn8832,0.142045,2.732829
rxn1320,0.058787,2.072806
rxn4113,0.078592,0.385855
rxn8885,0.042280,2.637321
rxn6196,0.179262,0.638450
rxn0346,0.051860,2.612516
rxn4518,0.068118,2.949313
rxn3107,0.062955,1.645680
rxn8837,0.056847,1.697448
rxn7060,0.033455,1.765846
rxn5691,0.040732,1.419213
rxn1283,0.038020,2.386099
rxn8827,0.026281,1.127814
rxn4522,0.098243,1.875038
rxn1147,0.065124,1.839767
rxn0894,0.062444,1.349760
rxn7957,0.026477,0.901043
rxn5690,0.036683,0.162018
