rxn,s2_ts,f_rks,f_bs,ratio,depth_mev,group,group_local,f_ref
rxn0101,-0.000000,0.463120,0.463357,1.001,0.00,stable,stable,0.0095
rxn0346,0.683749,0.408031,2.714170,6.652,189.56,unstable,unstable,0.0483
rxn0894,0.588854,0.326719,1.114956,3.413,193.08,unstable,unstable,0.0087
rxn0896,0.000000,0.430942,0.430124,0.998,-0.00,stable,stable,0.0095
rxn10005,0.000000,0.950520,0.950550,1.000,-0.00,stable,stable,0.0177
rxn10054,-0.000000,0.851803,0.851776,1.000,-0.00,unstable,stable,0.0127
rxn1061,0.000000,0.649724,0.649718,1.000,0.00,stable,stable,0.0176
rxn1147,0.554151,0.422355,1.561291,3.697,116.86,stable,unstable,0.0327
rxn1150,0.000000,0.366674,0.366561,1.000,0.00,stable,stable,0.0123
rxn1154,-0.000000,0.770145,0.770218,1.000,-0.00,stable,stable,0.0041
rxn1155,-0.000000,0.295440,0.295458,1.000,-0.00,stable,stable,0.0122
rxn1283,0.348219,0.276812,1.707259,6.168,25.11,unstable,unstable,0.0313
rxn1320,0.771658,0.340250,2.079943,6.113,314.80,unstable,unstable,0.0147
rxn1961,0.000000,0.263428,0.263387,1.000,0.00,stable,stable,0.0060
rxn1962,0.000000,0.686282,0.686461,1.000,0.00,stable,stable,0.0193
rxn2553,0.000000,0.849596,0.849626,1.000,0.00,stable,stable,0.0283
rxn3107,0.444212,0.562804,1.297191,2.305,43.76,unstable,unstable,0.0098
rxn4003,-0.000000,0.196338,0.196263,1.000,0.00,stable,stable,0.0125
rxn4004,0.000000,0.337923,0.337914,1.000,0.00,stable,stable,0.0070
rxn4060,0.000000,0.410612,0.410627,1.000,0.00,stable,stable,0.0123
rxn4063,0.000000,0.296398,0.296112,0.999,0.00,stable,stable,0.0114
rxn4113,0.191919,0.475191,0.462857,0.974,16.43,unstable,unstable,0.0131
rxn4114,0.000000,0.260721,0.260721,1.000,-0.00,stable,stable,0.0210
rxn4498,0.000000,0.632306,0.632196,1.000,0.00,stable,stable,0.0166
rxn4500,0.000000,0.937718,0.937793,1.000,0.00,stable,stable,0.0134
rxn4513,0.000000,0.591609,0.591678,1.000,0.00,stable,stable,0.0271
rxn4518,0.835557,0.462798,3.313861,7.160,616.36,unstable,unstable,0.0089
rxn4519,0.000000,0.718355,0.718159,1.000,0.00,stable,stable,0.0173
rxn4522,0.692852,0.823501,1.819759,2.210,206.50,unstable,unstable,0.0118
rxn5690,0.317691,0.656197,0.696892,1.062,34.72,unstable,unstable,0.3660
rxn5691,0.655195,0.584582,1.569391,2.685,169.56,unstable,unstable,0.0194
rxn6196,0.336403,1.075231,0.424345,0.395,29.08,unstable,unstable,0.0258
rxn7060,0.000000,0.872470,0.872462,1.000,-0.00,stable,stable,0.0189
rxn7936,0.000000,0.324857,0.324848,1.000,0.00,stable,stable,0.0190
rxn7937,-0.000000,0.766067,0.766259,1.000,-0.00,stable,stable,0.0147
rxn7945,0.002966,0.581548,0.579682,0.997,0.00,stable,stable,0.0282
rxn7949,0.893184,0.953671,1.702443,1.785,548.43,unstable,unstable,0.0076
rxn7955,0.000000,0.914215,0.914226,1.000,0.00,stable,stable,0.0231
rxn7957,0.537344,0.785336,0.526905,0.671,107.90,unstable,unstable,0.0155
rxn8827,0.342273,0.592516,1.125592,1.900,26.95,unstable,unstable,0.0145
rxn8829,-0.000000,0.849578,0.849366,1.000,0.00,stable,stable,0.0231
rxn8832,0.872220,0.702670,2.709067,3.855,430.02,unstable,unstable,0.0131
rxn8837,0.732342,0.620752,1.808190,2.913,278.92,unstable,unstable,0.0112
rxn8885,0.518607,0.695140,2.045265,2.942,37.78,unstable,unstable,0.0067
rxn9246,0.000000,0.608812,0.608738,1.000,0.00,stable,stable,0.0095
