rxn,rmsd_max,rmsd_med,rmsd_uma-s_uma-m,rmsd_uma-s_esen,rmsd_uma-m_esen
rxn0101,0.01784,0.01688,0.01784,0.01688,0.00632
rxn0346,0.04460,0.03464,0.03464,0.01630,0.04460
rxn0894,2.53250,2.44150,2.44150,2.53250,0.36839
rxn0896,0.01443,0.01436,0.01436,0.00575,0.01443
rxn10005,0.00556,0.00548,0.00556,0.00525,0.00548
rxn10054,0.01211,0.01168,0.01211,0.01168,0.00477
rxn1061,0.00718,0.00593,0.00593,0.00718,0.00271
rxn1147,0.03185,0.01842,0.03185,0.01804,0.01842
rxn1150,0.00591,0.00486,0.00354,0.00591,0.00486
rxn1154,0.07742,0.06001,0.02078,0.07742,0.06001
rxn1155,0.00469,0.00392,0.00392,0.00469,0.00354
rxn1283,0.06386,0.06020,0.06020,0.03280,0.06386
rxn1320,0.01611,0.01047,0.00918,0.01611,0.01047
rxn1961,0.00033,0.00031,0.00031,0.00033,0.00029
rxn1962,0.00089,0.00083,0.00071,0.00089,0.00083
rxn2553,0.00135,0.00131,0.00131,0.00122,0.00135
rxn3107,0.04097,0.03122,0.03122,0.04097,0.01515
rxn4003,0.00663,0.00521,0.00223,0.00663,0.00521
rxn4004,0.00815,0.00813,0.00170,0.00813,0.00815
rxn4060,0.00427,0.00395,0.00395,0.00352,0.00427
rxn4063,0.00043,0.00038,0.00029,0.00038,0.00043
rxn4113,0.72997,0.72939,0.72997,0.00928,0.72939
rxn4114,0.00081,0.00059,0.00051,0.00081,0.00059
rxn4498,0.00372,0.00346,0.00372,0.00346,0.00269
rxn4500,0.00085,0.00084,0.00073,0.00085,0.00084
rxn4513,0.00116,0.00094,0.00074,0.00116,0.00094
rxn4518,0.07831,0.05729,0.05729,0.05089,0.07831
rxn4519,0.01087,0.01015,0.01015,0.01087,0.00834
rxn4522,0.01629,0.01602,0.01602,0.01178,0.01629
rxn5690,0.02583,0.02334,0.01847,0.02334,0.02583
rxn5691,0.21107,0.19916,0.21107,0.01717,0.19916
rxn6196,0.01201,0.01066,0.01066,0.01201,0.00572
rxn7060,0.04691,0.03495,0.03495,0.02766,0.04691
rxn7936,0.00396,0.00382,0.00208,0.00382,0.00396
rxn7937,0.02509,0.02023,0.02023,0.02509,0.01926
rxn7945,0.45854,0.45128,0.01676,0.45854,0.45128
rxn7949,0.06392,0.04350,0.06392,0.04350,0.03901
rxn7955,0.00153,0.00141,0.00114,0.00153,0.00141
rxn7957,0.01922,0.01716,0.01922,0.01117,0.01716
rxn8827,0.06196,0.04160,0.03166,0.06196,0.04160
rxn8829,0.00270,0.00226,0.00156,0.00270,0.00226
rxn8832,0.05089,0.02845,0.05089,0.02707,0.02845
rxn8837,1.96830,1.41357,1.41357,1.96830,0.91779
rxn8885,1.41115,1.12946,0.46906,1.12946,1.41115
rxn9246,0.00215,0.00146,0.00146,0.00215,0.00082
