rxn,model,converged_marker,criterion_met,f_band_final,n_steps
rxn0101,esen,1,1,0.0472,95
rxn0101,uma-m,1,1,0.0499,116
rxn0101,uma-s,1,1,0.0484,87
rxn0346,esen,1,1,0.0453,71
rxn0346,uma-m,1,1,0.0500,153
rxn0346,uma-s,1,1,0.0468,65
rxn0894,esen,1,0,0.1825,503
rxn0894,uma-m,1,0,0.2200,498
rxn0894,uma-s,0,0,0.1191,198
rxn0896,esen,1,1,0.0500,60
rxn0896,uma-m,1,1,0.0496,64
rxn0896,uma-s,1,1,0.0499,52
rxn10005,esen,1,1,0.0491,30
rxn10005,uma-m,1,1,0.0497,39
rxn10005,uma-s,1,1,0.0498,35
rxn10054,esen,1,1,0.0494,62
rxn10054,uma-m,1,1,0.0496,60
rxn10054,uma-s,1,1,0.0490,68
rxn1061,esen,1,0,0.0782,465
rxn1061,uma-m,1,0,0.0699,467
rxn1061,uma-s,1,0,0.0842,466
rxn1147,esen,1,1,0.0447,242
rxn1147,uma-m,1,1,0.0497,233
rxn1147,uma-s,1,1,0.0496,260
rxn1150,esen,1,1,0.0496,24
rxn1150,uma-m,1,1,0.0387,12
rxn1150,uma-s,1,1,0.0479,18
rxn1154,esen,1,0,0.0855,488
rxn1154,uma-m,1,0,0.0871,496
rxn1154,uma-s,1,0,0.1035,493
rxn1155,esen,1,1,0.0450,18
rxn1155,uma-m,1,1,0.0499,26
rxn1155,uma-s,1,1,0.0479,23
rxn1283,esen,1,1,0.0489,104
rxn1283,uma-m,1,1,0.0498,82
rxn1283,uma-s,1,1,0.0498,89
rxn1320,esen,1,1,0.0429,143
rxn1320,uma-m,1,1,0.0452,136
rxn1320,uma-s,1,1,0.0490,129
rxn1961,esen,1,1,0.0492,5
rxn1961,uma-m,1,1,0.0493,5
rxn1961,uma-s,1,1,0.0439,6
rxn1962,esen,1,1,0.0459,11
rxn1962,uma-m,1,1,0.0444,12
rxn1962,uma-s,1,1,0.0446,12
rxn2553,esen,1,1,0.0451,14
rxn2553,uma-m,1,1,0.0445,14
rxn2553,uma-s,1,1,0.0456,14
rxn3107,esen,1,1,0.0499,524
rxn3107,uma-m,1,1,0.0494,562
rxn3107,uma-s,1,1,0.0497,521
rxn4003,esen,1,1,0.0469,217
rxn4003,uma-m,1,1,0.0481,228
rxn4003,uma-s,1,1,0.0498,242
rxn4004,esen,1,0,0.0853,455
rxn4004,uma-m,1,0,0.0916,450
rxn4004,uma-s,1,0,0.1069,448
rxn4060,esen,1,1,0.0500,392
rxn4060,uma-m,1,1,0.0497,393
rxn4060,uma-s,1,1,0.0499,453
rxn4063,esen,1,1,0.0414,5
rxn4063,uma-m,1,1,0.0421,5
rxn4063,uma-s,1,1,0.0415,5
rxn4113,esen,1,1,0.0463,22
rxn4113,uma-m,1,1,0.0466,251
rxn4113,uma-s,1,1,0.0427,17
rxn4114,esen,1,1,0.0330,6
rxn4114,uma-m,1,1,0.0331,6
rxn4114,uma-s,1,1,0.0344,6
rxn4498,esen,1,1,0.0483,12
rxn4498,uma-m,1,1,0.0491,12
rxn4498,uma-s,1,1,0.0496,11
rxn4500,esen,1,1,0.0432,11
rxn4500,uma-m,1,1,0.0468,11
rxn4500,uma-s,1,1,0.0488,11
rxn4513,esen,1,1,0.0485,7
rxn4513,uma-m,1,1,0.0468,7
rxn4513,uma-s,1,1,0.0498,7
rxn4518,esen,1,1,0.0484,278
rxn4518,uma-m,1,1,0.0449,263
rxn4518,uma-s,1,1,0.0482,269
rxn4519,esen,1,1,0.0500,133
rxn4519,uma-m,1,1,0.0499,149
rxn4519,uma-s,1,1,0.0498,143
rxn4522,esen,1,1,0.0498,81
rxn4522,uma-m,1,1,0.0487,83
rxn4522,uma-s,1,1,0.0492,81
rxn5690,esen,1,1,0.0484,136
rxn5690,uma-m,1,1,0.0496,107
rxn5690,uma-s,1,1,0.0497,120
rxn5691,esen,1,1,0.0490,221
rxn5691,uma-m,1,1,0.0495,113
rxn5691,uma-s,1,1,0.0500,243
rxn6196,esen,1,1,0.0491,49
rxn6196,uma-m,1,1,0.0485,58
rxn6196,uma-s,1,1,0.0454,53
rxn7060,esen,1,1,0.0489,140
rxn7060,uma-m,1,1,0.0500,107
rxn7060,uma-s,1,1,0.0497,139
rxn7936,esen,1,1,0.0489,7
rxn7936,uma-m,1,1,0.0485,10
rxn7936,uma-s,1,1,0.0385,10
rxn7937,esen,1,0,0.0945,441
rxn7937,uma-m,1,1,0.0487,409
rxn7937,uma-s,1,0,0.1284,441
rxn7945,esen,1,1,0.0499,349
rxn7945,uma-m,1,1,0.0496,119
rxn7945,uma-s,1,1,0.0463,122
rxn7949,esen,1,0,0.0850,478
rxn7949,uma-m,1,0,0.0711,491
rxn7949,uma-s,1,0,0.0871,477
rxn7955,esen,1,1,0.0419,10
rxn7955,uma-m,1,1,0.0434,10
rxn7955,uma-s,1,1,0.0416,10
rxn7957,esen,1,1,0.0499,153
rxn7957,uma-m,1,1,0.0495,313
rxn7957,uma-s,1,1,0.0480,149
rxn8827,esen,1,1,0.0476,206
rxn8827,uma-m,1,1,0.0492,176
rxn8827,uma-s,1,1,0.0465,160
rxn8829,esen,1,1,0.0474,10
rxn8829,uma-m,1,1,0.0493,10
rxn8829,uma-s,1,1,0.0452,10
rxn8832,esen,1,1,0.0498,168
rxn8832,uma-m,1,1,0.0497,171
rxn8832,uma-s,1,1,0.0455,134
rxn8837,esen,0,0,0.1653,353
rxn8837,uma-m,1,0,0.2704,455
rxn8837,uma-s,1,0,0.3193,480
rxn8885,esen,1,0,0.1528,619
rxn8885,uma-m,1,0,0.2378,638
rxn8885,uma-s,1,0,0.1363,638
rxn9246,esen,1,1,0.0499,5
rxn9246,uma-m,1,1,0.0493,7
rxn9246,uma-s,1,1,0.0491,9
