rxn,model,unstable,F_model,F_tzvp,F_tzvpd,mae_force,maxcomp_err,barr_model,barr_tzvp,barr_tzvpd,rxne_model,rxne_tzvp,rxne_tzvpd,s2_ts_tzvpd
rxn0101,esen,0,0.0220,0.1004,0.0671,0.012924,0.059264,2.7339,2.7739,2.7409,-0.5931,-0.5890,-0.5922,-0.0000
rxn0101,uma-m,0,0.0190,0.0987,0.0187,0.003995,0.015747,2.7407,2.7733,2.7404,-0.5926,-0.5890,-0.5922,-0.0000
rxn0101,uma-s,0,0.0301,0.1392,0.0381,0.010438,0.042120,2.7382,2.7731,2.7403,-0.5916,-0.5890,-0.5922,-0.0000
rxn0346,esen,1,0.2884,0.4824,0.4495,0.065134,0.298291,3.3303,3.3292,3.3267,1.9691,1.9673,1.9651,0.6448
rxn0346,uma-m,1,0.0283,0.1818,0.1246,0.028802,0.119970,3.3086,3.3221,3.3182,1.9657,1.9672,1.9650,0.5961
rxn0346,uma-s,1,0.0427,0.2411,0.2071,0.033620,0.174370,3.3253,3.3260,3.3229,1.9660,1.9672,1.9650,0.5987
rxn0894,esen,1,0.0285,0.7942,0.7716,0.115711,0.776057,7.1151,4.4237,4.4213,2.4512,2.4502,2.4490,1.0277
rxn0894,uma-m,1,0.3135,1.3204,1.3099,0.369982,1.350848,7.3401,4.8240,4.8216,2.4496,2.4502,2.4489,1.0384
rxn0894,uma-s,1,0.1122,0.7756,0.7838,0.192057,0.797238,4.1816,4.1710,4.1595,2.4504,2.4502,2.4489,0.9854
rxn0896,esen,0,0.0081,0.1314,0.1280,0.022144,0.128241,5.2092,5.2212,5.2045,3.4531,3.4568,3.4480,-0.0000
rxn0896,uma-m,0,0.0043,0.0696,0.0720,0.014625,0.074014,5.2046,5.2208,5.2043,3.4471,3.4568,3.4480,0.0000
rxn0896,uma-s,0,0.0071,0.0568,0.0354,0.009506,0.042457,5.2054,5.2206,5.2039,3.4496,3.4568,3.4480,0.0000
rxn10005,esen,0,0.0165,0.0730,0.0768,0.020652,0.068890,3.7241,3.7219,3.7232,2.5084,2.5083,2.5070,0.0000
rxn10005,uma-m,0,0.0190,0.0276,0.0230,0.006271,0.022119,3.7230,3.7215,3.7226,2.5066,2.5078,2.5063,0.0000
rxn10005,uma-s,0,0.0181,0.0487,0.0450,0.011834,0.035567,3.7187,3.7219,3.7233,2.5073,2.5084,2.5073,-0.0000
rxn10054,esen,0,0.0332,0.1108,0.1293,0.026796,0.127356,1.8379,1.8418,1.8388,-1.4676,-1.4699,-1.4672,0.0579
