rxn,split,data_id,group,n_atoms,match_by,n_cand,rmsd_A,rmsd_direct_A,s2_ours,s2_omol,omol_unrestricted,omol_charge,omol_spin,e_rks_ha,e_bs_ha,e_omol_ev,d_rks_mev,d_bs_mev,depth_mev,dF_rks_max,dF_bs_max,fmax_rks,fmax_bs,fmax_omol,omol_surface,source
rxn0346,train,trans1x,bs,11,name,314,0.000001,0.000001,0.683749,0.683030,1,0,1,-322.309876218,-322.316842315,-8770.688018239,189.4856,-0.0716,189.56,2.938746,0.002741,0.408031,2.714170,2.713838,gebrochen,trans1x/t1x_rxn0346_314_309_0_1/orca.tar.zst
rxn0894,train,trans1x,bs,11,name,1586,0.000000,0.000000,0.588854,0.586523,1,0,1,-322.363525547,-322.370621141,-8772.151414611,193.0093,-0.0716,193.08,1.372817,0.001136,0.326719,1.114956,1.115619,gebrochen,trans1x/t1x_rxn0894_1586_1582_0_1/orca.tar.zst
rxn1147,train,trans1x,bs,11,name,706,0.000000,0.000000,0.554151,0.553617,1,0,1,-322.376820838,-322.381115326,-8772.436975918,116.7873,-0.0716,116.86,1.775590,0.001879,0.422355,1.561291,1.561259,gebrochen,trans1x/t1x_rxn1147_706_701_0_1/orca.tar.zst
rxn1283,train,trans1x,bs,11,name,754,0.000000,0.000000,0.348219,0.342379,1,0,1,-322.330968045,-322.331890726,-8771.097505949,25.0354,-0.0720,25.11,1.931799,0.009759,0.276812,1.707259,1.716629,gebrochen,trans1x/t1x_rxn1283_754_750_0_1/orca.tar.zst
rxn1320,train,trans1x,bs,11,name,674,0.000000,0.000000,0.771658,0.769345,1,0,1,-322.380203678,-322.391772380,-8772.726969221,314.7289,-0.0715,314.80,2.027167,0.001279,0.340250,2.079943,2.079512,gebrochen,trans1x/t1x_rxn1320_674_670_0_1/orca.tar.zst
rxn3107,train,trans1x,bs,11,name,1114,0.000000,0.000000,0.444212,0.444807,1,0,1,-322.368596210,-322.370204358,-8772.140071248,43.6862,-0.0737,43.76,1.865258,0.005264,0.562804,1.297191,1.302455,gebrochen,trans1x/t1x_rxn3107_1114_1110_0_1/orca.tar.zst
rxn4113,train,trans1x,bs,11,name,426,0.000001,0.000001,0.191919,0.195004,1,0,1,-322.369719986,-322.370323700,-8772.143320534,16.3560,-0.0719,16.43,0.544929,0.004039,0.475191,0.462857,0.463135,gebrochen,trans1x/t1x_rxn4113_426_422_0_1/orca.tar.zst
rxn4518,train,trans1x,bs,11,name,474,0.000001,0.000001,0.835557,0.833491,1,0,1,-322.333050752,-322.355701700,-8771.745436137,616.2923,-0.0714,616.36,2.851830,0.001552,0.462798,3.313861,3.314628,gebrochen,trans1x/t1x_rxn4518_474_470_0_1/orca.tar.zst
rxn4522,train,trans1x,bs,11,name,466,0.000001,0.000001,0.692852,0.689589,1,0,1,-322.323059831,-322.330648526,-8771.063704359,206.4273,-0.0716,206.50,2.030716,0.002571,0.823501,1.819759,1.820320,gebrochen,trans1x/t1x_rxn4522_466_462_0_1/orca.tar.zst
rxn5690,train,trans1x,bs,12,name,1341,0.000001,0.000001,0.317691,0.316052,1,0,1,-323.275287241,-323.276563104,-8796.803351890,34.6470,-0.0710,34.72,0.658200,0.001178,0.656197,0.696892,0.696830,gebrochen,trans1x/t1x_rxn5690_1370_149_0_1/orca.tar.zst
