rxn,model,e_r_uks_ha,e_ts_uks_ha,e_p_uks_ha,e_ts_rks_ha,s2_r,s2_ts,s2_p,unstable_ts,depth_ts_mev,depth_src,f_model_max,f_model_norm_max,f_dft_max,f_err_max,f_err_mae,barr_model,barr_dft,barr_rks,err_barr,rxne_model,rxne_dft,err_rxne,scf_cyc_ts_uks,scf_cyc_ts_rks
rxn0101,esen,-322.525356703,-322.424630168,-322.547120562,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.022048,0.022559,0.067082,0.059264,0.012924,2.733940,2.740909,,-0.006968,-0.593103,-0.592225,-0.000879,16,
rxn0101,uma-m,-322.525357226,-322.424649638,-322.547120530,,-0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.019003,0.019398,0.018745,0.015747,0.003995,2.740660,2.740393,,0.000267,-0.592600,-0.592210,-0.000391,16,
rxn0101,uma-s,-322.525357072,-322.424653492,-322.547120545,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.030149,0.030917,0.038107,0.042120,0.010438,2.738178,2.740284,,-0.002106,-0.591577,-0.592214,0.000637,16,
rxn0346,esen,-322.440072468,-322.317818412,-322.367856188,-322.312729468,0.000000,0.644766,-0.000000,1,138.5,rks_sp,0.288361,0.305095,0.449538,0.298291,0.065134,3.330292,3.326702,3.465180,0.003589,1.969078,1.965105,0.003973,25,16
rxn0346,uma-m,-322.440070634,-322.318128608,-322.367856657,-322.314340064,-0.000000,0.596061,-0.000000,1,103.1,rks_sp,0.028267,0.031494,0.124626,0.119970,0.028802,3.308606,3.318212,3.421303,-0.009605,1.965742,1.965042,0.000700,22,16
rxn0346,uma-s,-322.440070667,-322.317957161,-322.367856508,-322.313858472,0.000000,0.598738,0.000000,1,111.5,rks_sp,0.042698,0.049412,0.207102,0.174370,0.033620,3.325343,3.322878,3.434409,0.002465,1.966022,1.965047,0.000975,20,16
rxn0894,esen,-322.544358943,-322.381878264,-322.454361403,-322.235387179,0.000000,1.027665,-0.000000,1,3986.2,rks_sp,0.028513,0.033554,0.771634,0.776057,0.115711,7.115101,4.421325,8.407550,2.693776,2.451163,2.448958,0.002206,92,88
rxn0894,uma-m,-322.544359178,-322.367167876,-322.454362996,-322.223612459,-0.000000,1.038358,0.000000,1,3906.3,rks_sp,0.313502,0.366245,1.309857,1.350848,0.369982,7.340065,4.821621,8.727963,2.518444,2.449599,2.448921,0.000678,80,84
rxn0894,uma-s,-322.544358964,-322.391501781,-322.454362853,-322.345354895,0.000000,0.985358,0.000000,1,1255.7,rks_sp,0.112211,0.149262,0.783818,0.797238,0.192057,4.181564,4.159456,5.415177,0.022109,2.450434,2.448919,0.001515,21,18
rxn0896,esen,-322.544358943,-322.353097553,-322.417647469,,-0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.008073,0.009748,0.127969,0.128241,0.022144,5.209158,5.204488,,0.004671,3.453132,3.447995,0.005138,21,
rxn0896,uma-m,-322.544359178,-322.353106296,-322.417647904,,-0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.004302,0.005794,0.071996,0.074014,0.014625,5.204566,5.204256,,0.000310,3.447057,3.447989,-0.000933,21,
rxn0896,uma-s,-322.544358964,-322.353120101,-322.417646994,,-0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.007073,0.009242,0.035384,0.042457,0.009506,5.205380,5.203875,,0.001506,3.449642,3.448008,0.001633,21,
rxn10005,esen,-392.757127506,-392.620301676,-392.664995234,,-0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.016529,0.018274,0.076760,0.068890,0.020652,3.724092,3.723221,,0.000872,2.508396,2.507047,0.001349,21,
rxn10005,uma-m,-392.757127890,-392.620323701,-392.665023544,,-0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.018975,0.021489,0.022982,0.022119,0.006271,3.723026,3.722632,,0.000394,2.506577,2.506287,0.000290,21,
rxn10005,uma-s,-392.757128034,-392.620298309,-392.664987695,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.018123,0.021942,0.045027,0.035567,0.011834,3.718653,3.723327,,-0.004674,2.507255,2.507266,-0.000012,21,
rxn10054,esen,-323.425093639,-323.357517816,-323.479013607,-323.357496394,-0.000000,0.057936,-0.000000,1,0.6,rks_sp,0.033241,0.037779,0.129335,0.127356,0.026796,1.837930,1.838832,1.839415,-0.000902,-1.467621,-1.467237,-0.000384,57,16
rxn10054,uma-m,-323.425093388,-323.357539519,-323.479013644,-323.357504006,0.000000,0.072614,0.000000,1,1.0,rks_sp,0.010079,0.013038,0.044062,0.046496,0.010600,1.835254,1.838234,1.839201,-0.002980,-1.466770,-1.467245,0.000475,53,16
rxn10054,uma-s,-323.425092908,-323.357615477,-323.479013655,-323.356823167,-0.000000,0.304119,-0.000000,1,21.6,rks_sp,0.565821,0.622333,0.568658,0.064784,0.015606,1.829101,1.836154,1.857714,-0.007054,-1.467002,-1.467258,0.000256,20,18
rxn1061,esen,-322.550029422,-322.508168596,-322.573368653,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.063123,0.068487,0.078493,0.023411,0.007347,1.133299,1.139091,,-0.005792,-0.634068,-0.635093,0.001025,15,
rxn1061,uma-m,-322.550029548,-322.508171737,-322.573368690,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.002429,0.002572,0.013206,0.013367,0.003526,1.136850,1.139009,,-0.002159,-0.635732,-0.635090,-0.000642,14,
rxn1061,uma-s,-322.550029259,-322.508170055,-322.573368665,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.027833,0.030409,0.029019,0.013238,0.003486,1.138202,1.139047,,-0.000845,-0.635274,-0.635098,-0.000177,14,
rxn1147,esen,-322.530664208,-322.388163763,-322.403360324,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.030367,0.037793,0.064529,0.064313,0.017952,3.889283,3.877635,,0.011649,3.465139,3.464115,0.001024,15,
rxn1147,uma-m,-322.530663954,-322.388135229,-322.403350758,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.023873,0.030685,0.041796,0.039016,0.009500,3.880147,3.878404,,0.001743,3.461846,3.464369,-0.002523,16,
rxn1147,uma-s,-322.530663500,-322.388231959,-322.403350574,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.029719,0.030237,0.097244,0.097433,0.017595,3.876082,3.875760,,0.000323,3.466199,3.464361,0.001838,15,
rxn1150,esen,-322.530664208,-322.398091425,-322.422044907,,0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.068741,0.071737,0.113793,0.087951,0.019453,3.595045,3.607489,,-0.012444,2.960676,2.955682,0.004994,16,
rxn1150,uma-m,-322.530663954,-322.398062520,-322.422053171,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.082347,0.087218,0.087684,0.048501,0.010843,3.606917,3.608269,,-0.001352,2.954272,2.955450,-0.001178,16,
rxn1150,uma-s,-322.530663500,-322.398057129,-322.422054371,,-0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.057081,0.063359,0.068380,0.058373,0.011873,3.610233,3.608403,,0.001830,2.956125,2.955405,0.000720,20,
rxn1154,esen,-322.530664208,-322.389118814,-322.494985823,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.002593,0.002731,0.089643,0.087786,0.027738,3.843695,3.851646,,-0.007951,0.969012,0.970858,-0.001846,18,
rxn1154,uma-m,-322.530663954,-322.389487481,-322.494983228,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.017819,0.018248,0.031172,0.028015,0.009039,3.838211,3.841608,,-0.003396,0.970607,0.970922,-0.000315,19,
rxn1154,uma-s,-322.530663500,-322.389544149,-322.494988128,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.031838,0.032455,0.113129,0.109328,0.021482,3.840607,3.840053,,0.000553,0.970139,0.970776,-0.000637,18,
rxn1155,esen,-322.530664208,-322.427507007,-322.503210704,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.004641,0.004972,0.065705,0.065846,0.014690,2.805494,2.807050,,-0.001556,0.751608,0.747048,0.004560,13,
rxn1155,uma-m,-322.530663954,-322.427515316,-322.503209475,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.005196,0.005981,0.019781,0.019473,0.005047,2.803614,2.806817,,-0.003203,0.746181,0.747074,-0.000894,13,
rxn1155,uma-s,-322.530663500,-322.427505803,-322.503209762,,0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.006515,0.006739,0.053712,0.053256,0.013947,2.801875,2.807064,,-0.005189,0.746527,0.747054,-0.000528,13,
rxn1283,esen,-322.527734669,-322.350584947,-322.390534432,-322.308276824,-0.000000,0.987322,0.000000,1,1151.3,rks_sp,0.073070,0.086296,0.124346,0.097118,0.024988,4.800499,4.820490,5.971752,-0.019990,3.726133,3.733409,-0.007276,133,23
rxn1283,uma-m,-322.527734553,-322.349671174,-322.390626681,-322.309527970,0.000000,0.993853,0.000000,1,1092.4,rks_sp,0.056843,0.060921,0.129281,0.091382,0.016863,4.816909,4.845351,5.937704,-0.028443,3.727646,3.730895,-0.003249,148,19
rxn1283,uma-s,-322.527734517,-322.350695357,-322.390644591,-322.311808799,-0.000000,0.978502,-0.000000,1,1058.2,rks_sp,0.081400,0.109287,0.179098,0.164124,0.039322,4.816159,4.817481,5.875638,-0.001322,3.730449,3.730407,0.000042,84,19
rxn1320,esen,-322.505979426,-322.404113938,-322.508991518,-322.393297845,0.000000,0.686400,-0.000000,1,294.3,rks_sp,0.016002,0.018146,0.098943,0.100994,0.018537,2.768121,2.771901,3.066222,-0.003780,-0.081122,-0.081963,0.000841,22,13
rxn1320,uma-m,-322.505979556,-322.404104090,-322.508991412,-322.392883330,0.000000,0.695138,-0.000000,1,305.3,rks_sp,0.016577,0.019758,0.028598,0.025106,0.007613,2.770738,2.772173,3.077505,-0.001435,-0.081216,-0.081957,0.000741,22,13
rxn1320,uma-s,-322.505979342,-322.404075188,-322.508991168,-322.393161399,-0.000000,0.688461,-0.000000,1,297.0,rks_sp,0.020217,0.022467,0.050570,0.054539,0.015782,2.765891,2.772953,3.069933,-0.007063,-0.081273,-0.081956,0.000683,22,13
rxn1961,esen,-284.467528066,-284.385031035,-284.434885379,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.034188,0.044658,0.028630,0.021587,0.004742,2.244654,2.244859,,-0.000204,0.889046,0.888253,0.000793,13,
rxn1961,uma-m,-284.467528315,-284.385032603,-284.434885594,,0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.027296,0.035411,0.030312,0.007102,0.001863,2.244520,2.244823,,-0.000302,0.887987,0.888254,-0.000267,13,
rxn1961,uma-s,-284.467528511,-284.385031495,-284.434885576,,-0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.023250,0.030818,0.021687,0.009380,0.002053,2.244452,2.244858,,-0.000406,0.888129,0.888260,-0.000131,13,
rxn1962,esen,-284.467528066,-284.378444125,-284.430480277,,0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.022562,0.025325,0.033887,0.016933,0.004911,2.424816,2.424098,,0.000719,1.008336,1.008122,0.000214,13,
rxn1962,uma-m,-284.467528315,-284.378446243,-284.430415984,,-0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.019339,0.020140,0.027836,0.014687,0.003698,2.422353,2.424047,,-0.001694,1.008894,1.009878,-0.000984,13,
rxn1962,uma-s,-284.467528511,-284.378444825,-284.430479249,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.020956,0.023651,0.027056,0.016886,0.004466,2.422875,2.424091,,-0.001216,1.007260,1.008162,-0.000901,13,
rxn2553,esen,-322.574487170,-322.501819170,-322.547738323,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.041178,0.042037,0.040866,0.027601,0.008588,1.982856,1.977397,,0.005459,0.728213,0.727873,0.000340,14,
rxn2553,uma-m,-322.574487191,-322.501824091,-322.547747254,,-0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.046073,0.046144,0.048076,0.011838,0.003591,1.974571,1.977264,,-0.002692,0.727138,0.727631,-0.000493,14,
rxn2553,uma-s,-322.574487358,-322.501822247,-322.547740085,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.044648,0.045138,0.049618,0.027390,0.007611,1.981464,1.977318,,0.004146,0.726434,0.727830,-0.001396,14,
rxn3107,esen,-322.519913955,-322.369488381,-322.471687489,-322.369385442,-0.000000,0.116199,-0.000000,1,2.8,rks_sp,0.006889,0.007036,0.256476,0.256534,0.043552,4.095396,4.093288,4.096089,0.002107,1.307988,1.312309,-0.004321,52,17
rxn3107,uma-m,-322.519957989,-322.369511525,-322.471688756,-322.369346548,0.000000,0.146708,-0.000000,1,4.5,rks_sp,0.003978,0.004030,0.168585,0.168632,0.027829,4.093239,4.093857,4.098346,-0.000618,1.311097,1.313473,-0.002376,50,17
rxn3107,uma-s,-322.519949997,-322.369386879,-322.471687446,-322.369156578,0.000000,0.176234,0.000000,1,6.3,rks_sp,0.003162,0.003177,0.095820,0.094848,0.022379,4.089068,4.097031,4.103298,-0.007963,1.313137,1.313291,-0.000154,50,17
rxn4003,esen,-303.882652306,-303.810147229,-303.856182845,,-0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.008993,0.011257,0.022275,0.014105,0.003093,1.973209,1.972964,,0.000245,0.722137,0.720271,0.001866,13,
rxn4003,uma-m,-303.882652635,-303.810147887,-303.856182817,,-0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.013590,0.016322,0.010640,0.011258,0.002704,1.972118,1.972955,,-0.000837,0.721093,0.720280,0.000813,13,
rxn4003,uma-s,-303.882653028,-303.810146777,-303.856182457,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.001864,0.002546,0.010608,0.009479,0.002233,1.973461,1.972996,,0.000465,0.720327,0.720301,0.000026,13,
