rxn,nfod,stratum,formula,group_rxn
rxn7949,1.146495,high,C5H5N1O1,unstable
rxn8832,0.999667,high,C5H5N1O1,unstable
rxn1320,0.967823,high,C3H5N1O2,unstable
rxn4113,0.959627,high,C3H5N1O2,unstable
rxn8885,0.922526,high,C5H5N1O1,unstable
rxn7945,0.903300,high,C5H5N1O1,stable
rxn7937,0.877471,high,C5H5N1O1,stable
rxn6196,0.868898,high,C5H5N1O1,unstable
rxn0346,0.847428,high,C3H5N1O2,unstable
rxn1150,0.846633,high,C3H5N1O2,stable
rxn0896,0.840368,high,C3H5N1O2,stable
rxn4518,0.833171,high,C3H5N1O2,unstable
rxn3107,0.800608,high,C3H5N1O2,unstable
rxn8837,0.798303,high,C5H5N1O1,unstable
rxn7060,0.788126,high,C5H5N1O1,stable
rxn5691,0.777668,high,C5H5N1O1,unstable
rxn1283,0.768754,high,C3H5N1O2,unstable
rxn8827,0.759862,high,C5H5N1O1,unstable
rxn4522,0.730771,high,C3H5N1O2,unstable
rxn7936,0.727138,high,C5H5N1O1,stable
rxn1147,0.725373,high,C3H5N1O2,stable
rxn0894,0.715971,high,C3H5N1O2,unstable
rxn0101,0.713202,high,C3H5N1O2,stable
rxn10005,0.695113,high,C2H3N3O2,stable
rxn10054,0.694863,high,C5H5N1O1,unstable
rxn7957,0.684467,high,C5H5N1O1,unstable
rxn1154,0.566447,spread,C3H5N1O2,stable
rxn5690,0.433383,spread,C5H5N1O1,unstable
rxn4513,0.307267,spread,C3H5N1O2,stable
rxn7955,0.219052,spread,C5H5N1O1,stable
rxn4519,0.154479,spread,C3H5N1O2,stable
rxn4500,0.106113,spread,C3H5N1O2,stable
rxn2553,0.076007,spread,C3H5N1O2,stable
rxn8829,0.047832,spread,C5H5N1O1,stable
rxn1155,0.016664,spread,C3H5N1O2,stable
rxn9246,0.014248,low,C3H5N1O2,stable
rxn4498,0.012435,low,C3H5N1O2,stable
rxn1061,0.011969,low,C3H5N1O2,stable
rxn4003,0.010029,low,C3H8N2O1,stable
rxn4004,0.009489,low,C3H8N2O1,stable
rxn4063,0.007984,low,C3H8N2O1,stable
rxn4114,0.007904,low,C3H5N1O2,stable
rxn4060,0.006670,low,C3H8N2O1,stable
rxn1961,0.004266,low,C2H5N1O2,stable
rxn1962,0.002577,low,C2H5N1O2,stable
