rxn,model,F_model,F_dft,unstable,lambda_min,nfod,breaking_depth
rxn0101,esen,0.022048,0.100384,0,0.07142674,0.713202,0.000
rxn0101,uma-m,0.019003,0.098678,0,0.07142674,0.713202,0.000
rxn0101,uma-s,0.030149,0.139193,0,0.07142674,0.713202,0.000
rxn0346,esen,0.288361,0.482410,1,-0.02718735,0.847428,147.604
rxn0346,uma-m,0.028267,0.181761,1,-0.02718735,0.847428,147.604
rxn0346,uma-s,0.042698,0.241113,1,-0.02718735,0.847428,147.604
rxn0894,esen,0.028513,0.794188,1,-0.04013800,0.715971,190.175
rxn0894,uma-m,0.313502,1.320420,1,-0.04013800,0.715971,190.175
rxn0894,uma-s,0.112211,0.775621,1,-0.04013800,0.715971,190.175
rxn0896,esen,0.008073,0.131422,0,0.00346535,0.840368,0.000
rxn0896,uma-m,0.004302,0.069599,0,0.00346535,0.840368,0.000
rxn0896,uma-s,0.007073,0.056825,0,0.00346535,0.840368,0.000
rxn10005,esen,0.016529,0.073025,0,0.00334932,0.695113,0.000
rxn10005,uma-m,0.018975,0.027601,0,0.00334932,0.695113,0.000
rxn10005,uma-s,0.018123,0.048725,0,0.00334932,0.695113,0.000
rxn10054,esen,0.033241,0.110785,0,0.00130759,0.694863,0.000
rxn10054,uma-m,0.010079,0.067789,0,0.00130759,0.694863,0.000
rxn10054,uma-s,0.565821,0.594531,0,0.00130759,0.694863,0.000
rxn1061,esen,0.063123,0.052503,0,0.14173781,0.011969,0.000
rxn1061,uma-m,0.002429,0.048898,0,0.14173781,0.011969,0.000
rxn1061,uma-s,0.027833,0.065328,0,0.14173781,0.011969,0.000
rxn1147,uma-s,0.029719,0.081411,1,-0.02450193,0.725373,105.234
rxn1150,esen,0.068741,0.095145,0,0.00497749,0.846633,0.000
rxn1150,uma-m,0.082347,0.069111,0,0.00497749,0.846633,0.000
rxn1150,uma-s,0.057081,0.082365,0,0.00497749,0.846633,0.000
rxn1154,esen,0.002593,0.108229,0,0.03270725,0.566447,0.000
rxn1154,uma-m,0.017819,0.044147,0,0.03270725,0.566447,0.000
rxn1154,uma-s,0.031838,0.121964,0,0.03270725,0.566447,0.000
rxn1155,esen,0.004641,0.058035,0,0.13379817,0.016664,0.000
rxn1155,uma-m,0.005196,0.036794,0,0.13379817,0.016664,0.000
rxn1155,uma-s,0.006515,0.067129,0,0.13379817,0.016664,0.000
rxn1283,esen,0.073070,0.104937,1,-0.01389304,0.768754,44.507
rxn1283,uma-m,0.056843,0.141340,1,-0.01389304,0.768754,44.507
rxn1283,uma-s,0.081400,0.162396,1,-0.01389304,0.768754,44.507
rxn1320,esen,0.016002,0.115310,1,-0.04801110,0.967823,339.180
rxn1320,uma-m,0.016577,0.042683,1,-0.04801110,0.967823,339.180
rxn1320,uma-s,0.020217,0.066509,1,-0.04801110,0.967823,339.180
rxn1961,esen,0.034188,0.047611,0,0.17749028,0.004266,0.000
rxn1961,uma-m,0.027296,0.046723,0,0.17749028,0.004266,0.000
rxn1961,uma-s,0.023250,0.050119,0,0.17749028,0.004266,0.000
rxn1962,esen,0.022562,0.030299,0,0.18279847,0.002577,0.000
rxn1962,uma-m,0.019339,0.036874,0,0.18279847,0.002577,0.000
rxn1962,uma-s,0.020956,0.056287,0,0.18279847,0.002577,0.000
rxn2553,esen,0.041178,0.069738,0,0.12428048,0.076007,0.000
rxn2553,uma-m,0.046073,0.076483,0,0.12428048,0.076007,0.000
rxn2553,uma-s,0.044648,0.051458,0,0.12428048,0.076007,0.000
rxn3107,esen,0.006889,0.162832,1,-0.01254540,0.800608,38.790
rxn3107,uma-m,0.003978,0.106069,1,-0.01254540,0.800608,38.790
rxn3107,uma-s,0.003162,0.157337,1,-0.01254540,0.800608,38.790
rxn4003,esen,0.008993,0.049744,0,0.17508637,0.010029,0.000
rxn4003,uma-m,0.013590,0.041901,0,0.17508637,0.010029,0.000
rxn4003,uma-s,0.001864,0.039108,0,0.17508637,0.010029,0.000
rxn4004,esen,0.000679,0.066695,0,0.15291815,0.009489,0.000
rxn4004,uma-m,0.000474,0.062725,0,0.15291815,0.009489,0.000
rxn4004,uma-s,0.000408,0.075204,0,0.15291815,0.009489,0.000
rxn4060,esen,0.000352,0.053532,0,0.16458139,0.006670,0.000
rxn4060,uma-m,0.000467,0.040471,0,0.16458139,0.006670,0.000
rxn4060,uma-s,0.000326,0.041875,0,0.16458139,0.006670,0.000
rxn4063,esen,0.043114,0.090605,0,0.18308261,0.007984,0.000
rxn4063,uma-m,0.037383,0.092752,0,0.18308261,0.007984,0.000
rxn4063,uma-s,0.034253,0.084707,0,0.18308261,0.007984,0.000
rxn4113,esen,0.057740,0.181999,1,-0.00845798,0.959627,8.351
rxn4113,uma-m,0.143216,0.185817,1,-0.00845798,0.959627,8.351
rxn4113,uma-s,0.099974,0.169167,1,-0.00845798,0.959627,8.351
rxn4114,esen,0.047131,0.055517,0,0.17696327,0.007904,0.000
rxn4114,uma-m,0.036581,0.051391,0,0.17696327,0.007904,0.000
rxn4114,uma-s,0.037910,0.034871,0,0.17696327,0.007904,0.000
rxn4498,esen,0.049378,0.084642,0,0.17433606,0.012435,0.000
rxn4498,uma-m,0.057904,0.072116,0,0.17433606,0.012435,0.000
rxn4498,uma-s,0.046334,0.090657,0,0.17433606,0.012435,0.000
rxn4500,esen,0.078271,0.111307,0,0.07881728,0.106113,0.000
rxn4500,uma-m,0.089677,0.099877,0,0.07881728,0.106113,0.000
rxn4500,uma-s,0.091805,0.106447,0,0.07881728,0.106113,0.000
rxn4513,esen,0.119964,0.146067,0,0.05819857,0.307267,0.000
rxn4513,uma-m,0.124377,0.149646,0,0.05819857,0.307267,0.000
rxn4513,uma-s,0.133232,0.154231,0,0.05819857,0.307267,0.000
rxn4518,esen,0.030672,0.050106,1,-0.07779870,0.833171,648.484
rxn4518,uma-m,0.024591,0.057152,1,-0.07779870,0.833171,648.484
rxn4518,uma-s,0.029826,0.059233,1,-0.07779870,0.833171,648.484
rxn4519,esen,0.044921,0.071215,0,0.09009292,0.154479,0.000
rxn4519,uma-m,0.000407,0.030463,0,0.09009292,0.154479,0.000
rxn4519,uma-s,0.003260,0.048000,0,0.09009292,0.154479,0.000
rxn5690,esen,0.022978,0.153524,1,-0.00267845,0.433383,1.264
rxn5690,uma-m,0.028315,0.109817,1,-0.00267845,0.433383,1.264
rxn5690,uma-s,0.027574,0.184252,1,-0.00267845,0.433383,1.264
rxn6196,esen,0.123285,0.139643,1,-0.00686553,0.868898,10.728
rxn6196,uma-m,0.118054,0.143261,1,-0.00686553,0.868898,10.728
rxn6196,uma-s,0.110232,0.091872,1,-0.00686553,0.868898,10.728
rxn7060,esen,0.028368,1.125770,1,-0.00790376,0.788126,22.067
rxn7060,uma-m,0.002260,0.334743,1,-0.00790376,0.788126,22.067
rxn7060,uma-s,0.018863,0.884263,1,-0.00790376,0.788126,22.067
rxn7936,esen,0.121745,0.159720,0,0.00814121,0.727138,0.000
