rxn,model,F_model,F_dft,mae_force,maxcomp_err,unstable,lambda_min,nfod,breaking_depth,unstable_model,lambda_min_model,breaking_depth_model
rxn0101,esen,0.022048,0.100384,0.021381,0.100516,0,0.07142674,0.713202,0.000,0,0.07068226,0.000
rxn0101,uma-m,0.019003,0.098678,0.014973,0.100962,0,0.07142674,0.713202,0.000,0,0.07119476,0.000
rxn0101,uma-s,0.030149,0.139193,0.020578,0.143205,0,0.07142674,0.713202,0.000,0,0.07093848,0.000
rxn0346,esen,0.288361,0.482410,0.075030,0.353465,1,-0.02718735,0.847428,147.604,1,-0.02535912,145.756
rxn0346,uma-m,0.028267,0.181761,0.042293,0.177105,1,-0.02718735,0.847428,147.604,1,-0.02126028,110.407
rxn0346,uma-s,0.042698,0.241113,0.042482,0.208382,1,-0.02718735,0.847428,147.604,1,-0.02269915,118.116
rxn0894,esen,0.028513,0.794188,0.115967,0.798611,1,-0.04013800,0.715971,190.175,1,-0.27734742,3991.955
rxn0894,uma-m,0.313502,1.320420,0.372306,1.361411,1,-0.04013800,0.715971,190.175,,,
rxn0894,uma-s,0.112211,0.775621,0.192791,0.770565,1,-0.04013800,0.715971,190.175,1,-0.11221440,1278.228
rxn0896,esen,0.008073,0.131422,0.021336,0.131694,0,0.00346535,0.840368,0.000,0,0.00296437,0.000
rxn0896,uma-m,0.004302,0.069599,0.017170,0.071617,0,0.00346535,0.840368,0.000,0,0.00464033,0.000
rxn0896,uma-s,0.007073,0.056825,0.012560,0.055091,0,0.00346535,0.840368,0.000,0,0.00374248,0.000
rxn10005,esen,0.016529,0.073025,0.021306,0.075016,0,0.00334932,0.695113,0.000,0,0.00349724,0.000
rxn10005,uma-m,0.018975,0.027601,0.010568,0.030595,0,0.00334932,0.695113,0.000,0,0.00318871,0.000
rxn10005,uma-s,0.018123,0.048725,0.014288,0.054285,0,0.00334932,0.695113,0.000,0,0.00328847,0.000
rxn10054,esen,0.033241,0.110785,0.023292,0.108806,0,0.00130759,0.694863,0.000,1,-0.00206992,0.939
rxn10054,uma-m,0.010079,0.067789,0.013925,0.070223,0,0.00130759,0.694863,0.000,1,-0.00253820,1.404
rxn10054,uma-s,0.565821,0.594531,0.017920,0.074313,0,0.00130759,0.694863,0.000,1,-0.01040456,23.355
rxn1061,esen,0.063123,0.052503,0.011420,0.053806,0,0.14173781,0.011969,0.000,0,0.14217405,0.000
rxn1061,uma-m,0.002429,0.048898,0.009865,0.049302,0,0.14173781,0.011969,0.000,0,0.14218255,0.000
rxn1061,uma-s,0.027833,0.065328,0.011599,0.057132,0,0.14173781,0.011969,0.000,0,0.14210241,0.000
rxn1147,esen,0.030367,0.069716,0.021886,0.068841,1,-0.02450193,0.725373,105.234,0,0.00660318,0.000
rxn1147,uma-m,0.023873,0.055098,0.014449,0.051490,1,-0.02450193,0.725373,105.234,0,0.00687713,0.000
rxn1147,uma-s,0.029719,0.081411,0.020684,0.081601,1,-0.02450193,0.725373,105.234,0,0.00698075,0.000
rxn1150,esen,0.068741,0.095145,0.019841,0.084016,0,0.00497749,0.846633,0.000,0,0.00360985,0.000
rxn1150,uma-m,0.082347,0.069111,0.014656,0.044357,0,0.00497749,0.846633,0.000,0,0.00347248,0.000
rxn1150,uma-s,0.057081,0.082365,0.016958,0.072358,0,0.00497749,0.846633,0.000,0,0.00332742,0.000
