rxn,model,s2_rotation,s2_stabperform,dE,scf_cycles_rot,scf_cycles_stab,verdict_match
rxn0101,esen,0.000000,-0.000000,-5.896e-09,24,16,1
rxn0101,uma-m,0.000000,-0.000000,-5.648e-09,24,16,1
rxn0101,uma-s,0.000000,-0.000000,-3.695e-09,24,16,1
rxn0346,esen,0.644897,0.644766,-8.325e-09,50,25,1
rxn0346,uma-m,0.595929,0.596061,8.848e-09,58,22,1
rxn0346,uma-s,0.598587,0.598738,1.368e-08,34,20,1
rxn0894,esen,1.027668,1.027665,6.461e-09,25,92,1
rxn0894,uma-m,1.038358,1.038358,-1.195e-09,85,80,1
rxn0894,uma-s,0.985439,0.985358,-3.195e-08,29,21,1
rxn0896,esen,0.000000,-0.000000,-1.437e-08,78,21,1
rxn0896,uma-m,0.000000,0.000000,-1.355e-08,68,21,1
rxn0896,uma-s,0.000000,0.000000,-1.344e-08,69,21,1
rxn10005,esen,0.000126,0.000000,2.134e-07,31,21,1
rxn10005,uma-m,0.000090,0.000000,1.383e-07,31,21,1
rxn10005,uma-s,0.000095,-0.000000,1.511e-07,31,21,1
rxn10054,esen,0.057925,0.057936,-5.950e-10,55,57,1
rxn10054,uma-m,0.076095,0.072614,4.100e-07,21,53,1
rxn10054,uma-s,0.304031,0.304119,-5.464e-08,53,20,1
rxn1061,esen,0.000000,-0.000000,-6.977e-09,17,15,1
rxn1061,uma-m,0.000000,0.000000,-1.248e-09,17,14,1
rxn1061,uma-s,0.000000,-0.000000,-1.125e-09,17,14,1
rxn1147,esen,0.000001,0.000000,6.427e-09,32,15,1
rxn1147,uma-m,0.000003,0.000000,2.894e-09,23,16,1
rxn1147,uma-s,0.000001,0.000000,-9.900e-10,23,15,1
rxn1150,esen,0.000000,0.000000,-1.840e-08,69,16,1
rxn1150,uma-m,0.000000,0.000000,-1.986e-08,69,16,1
rxn1150,uma-s,0.000000,0.000000,-9.268e-09,71,20,1
rxn1154,esen,0.000000,-0.000000,-1.592e-08,38,18,1
rxn1154,uma-m,0.000000,0.000000,-3.601e-09,46,19,1
rxn1154,uma-s,0.000000,-0.000000,-1.089e-08,47,18,1
rxn1155,esen,0.000000,-0.000000,1.182e-08,20,13,1
rxn1155,uma-m,0.000000,0.000000,1.206e-08,20,13,1
rxn1155,uma-s,0.000000,0.000000,1.178e-08,20,13,1
rxn1283,esen,0.987327,0.987322,-3.917e-09,119,133,1
rxn1283,uma-m,0.993776,0.993853,1.938e-08,303,148,1
rxn1283,uma-s,0.978502,0.978502,-2.004e-09,123,84,1
rxn1320,esen,0.686380,0.686400,-9.737e-09,25,22,1
rxn1320,uma-m,0.695117,0.695138,-1.004e-08,25,22,1
rxn1320,uma-s,0.688440,0.688461,-9.765e-09,25,22,1
rxn1961,esen,0.000000,-0.000000,2.036e-09,19,13,1
rxn1961,uma-m,0.000000,-0.000000,2.054e-09,19,13,1
rxn1961,uma-s,0.000000,-0.000000,1.977e-09,19,13,1
rxn1962,esen,0.000000,0.000000,-6.260e-10,19,13,1
rxn1962,uma-m,0.000000,0.000000,-6.200e-10,19,13,1
rxn1962,uma-s,0.000000,0.000000,-5.880e-10,19,13,1
rxn2553,esen,0.000000,-0.000000,-1.155e-09,20,14,1
rxn2553,uma-m,0.000000,0.000000,-1.063e-09,20,14,1
rxn2553,uma-s,0.000000,-0.000000,-1.152e-09,20,14,1
rxn3107,esen,0.114162,0.116199,1.219e-07,30,52,1
rxn3107,uma-m,0.146740,0.146708,-7.640e-10,48,50,1
rxn3107,uma-s,0.176234,0.176234,7.940e-10,46,50,1
rxn4003,esen,0.000000,0.000000,5.962e-09,16,13,1
rxn4003,uma-m,0.000000,0.000000,7.120e-10,19,13,1
