route,rxn,quelle,maxgrad_evang,gueltig,grund
A,rxn0346,tsopt2.out,0.0111,1,
A,rxn1147,tsopt.out,0.0024,1,
A,rxn1320,tsopt2.out,0.0107,1,
A,rxn4113,tsopt.out,0.0052,1,
A,rxn5690,tsopt.out,0.0018,1,
A,rxn6196,tsopt2.out,0.0092,1,
A,rxn7957,tsopt.out,0.0037,1,
A,rxn8827,tsopt2.out,0.0074,1,
A,rxn8832,tsopt.out,0.0019,1,
A,rxn8837,tsopt.out,0.0064,1,
A,rxn8885,tsopt.out,0.0175,1,
B,rxn0346,tsopt.out,0.0084,1,
B,rxn0894,tsopt.out,0.0132,1,
B,rxn1283,tsopt.out,0.9427,0,Optimierung nicht konvergiert (Iterationslimit)
B,rxn1320,tsopt.out,0.0116,1,
B,rxn3107,tsopt.out,0.0314,1,
B,rxn4522,tsopt.out,0.0072,1,
B,rxn5690,tsopt.out,0.0031,1,
B,rxn5691,tsopt.out,0.0207,1,
B,rxn6196,tsopt.out,0.0154,1,
B,rxn6196_maxiter50,tsopt.out,0.0865,0,abgebrochene Variante mit MaxIter 50
B,rxn8827,tsopt.out,0.0135,1,
C,rxn0346,engrad.out,0.0088,1,
C,rxn1147,engrad.out,0.0131,1,
C,rxn1283,engrad.out,0.0139,1,
C,rxn1320,engrad.out,0.0166,1,
C,rxn3107,engrad.out,0.0157,1,
C,rxn4113,engrad.out,0.0125,1,
C,rxn4518,engrad.out,0.0163,1,
C,rxn4522,engrad.out,0.0110,1,
C,rxn5690,engrad.out,0.0095,1,
C,rxn5691,engrad.out,0.0068,1,
C,rxn6196,engrad.out,0.0138,1,
C,rxn7060,engrad.out,1.7066,0,"faellt durch Stufe 1, also nicht stationaer (1.71 eV/A)"
C,rxn7949,engrad.out,0.0118,1,
C,rxn7957,engrad.out,0.0133,1,
C,rxn8827,engrad.out,0.0077,1,
C,rxn8832,engrad.out,0.0180,1,
C,rxn8837,engrad.out,0.0138,1,
C,rxn8885,engrad.out,0.0127,1,
